,FROM,TO,test
1840,1662248,1662247,0.06978415760054152
1841,1662248,1662248,0.06978415760054152
1842,1662400,1662403,0.005095410932790129
1843,1661967,1662159,0.06978415760054152
1844,1662168,1662257,0.06978415760054152
1845,1662078,1662190,0.06978415760054152
1846,1662190,1662159,0.06978415760054152
1847,1662257,1662190,0.06978415760054152
1848,1662395,1662257,0.06978415760054152
1849,1662395,1662400,0.005095410932790129
1850,1662159,1662200,0.06978415760054152
1851,1662277,1662400,0.06978415760054152
1852,1662200,1662277,0.06978415760054152
1853,1662167,1662200,0.06978415760054152
1854,1662237,1662277,0.06978415760054152
1855,1663206,1663394,0.06978415760054152
1856,1664253,1664483,0.06978415760054152
1857,1665971,1665956,0.06978415760054152
1858,1666240,1665956,0.06978415760054152
1859,1666044,1665971,0.06978415760054152
1860,1666025,1665735,0.006818461530069585
1861,1666512,1666025,0.006818461530069585
1862,1665956,1665586,0.06978415760054152
1863,1665218,1665114,0.06978415760054152
1864,1665297,1665218,0.06978415760054152
1865,1665956,1665890,0.06978415760054152
1866,1665472,1665466,0.06978415760054152
1867,1665615,1665466,0.06978415760054152
1868,1665890,1665615,0.06978415760054152
1869,1665685,1665890,0.06978415760054152
1870,1666026,1666044,0.06978415760054152
1871,1666025,1666026,0.06978415760054152
1872,1666113,1666203,0.06978415760054152
1873,1666203,1666112,0.06978415760054152
1874,1666353,1666203,0.06978415760054152
1875,1666509,1666353,0.06978415760054152
1876,1666372,1666353,0.06978415760054152
1877,1666353,1666294,0.06978415760054152
