RDWY_LINK_ID,REF_SITE_FROM_ID,REF_SITE_TO_ID,LCM_FROM_TO_DIS,RDWY_LINK_RSLN
4822212,1665118,1665120,1003,52.7999992
4822216,1665114,1665113,686,52.7999992
4822220,1665090,1665091,422,52.7999992
4822228,1664489,1665133,2693,52.7999992
4822233,1665132,1665133,1320,52.7999992
4822397,1665297,1665299,475,52.7999992
4822450,1665330,1665091,898,52.7999992
4822504,1665410,1665116,1109,52.7999992
4822529,1665297,1665444,528,52.7999992
4822550,1665482,1665153,6758,52.7999992
4822590,1665551,1665100,2376,52.7999992
4822635,1665551,1665601,1478,52.7999992
4822654,1665410,1665552,739,52.7999992
4822724,1665552,1665612,158,52.7999992
4822730,1665614,1665586,739,52.7999992
4822765,1665648,1665614,370,52.7999992
4822766,1665648,1665410,792,52.7999992
4822792,1665614,1665662,211,52.7999992
4822816,1665671,1665648,370,52.7999992
4822817,1665552,1665671,528,52.7999992
4822896,1665735,1665671,1003,52.7999992
4822897,1665120,1665735,2165,52.7999992
4822921,1665671,1665741,370,52.7999992
4823013,1665153,1665861,2587,52.7999992
4823014,1665861,1663992,11986,52.7999992
4823609,1666240,1666324,528,52.7999992
4823610,1666324,1666285,422,52.7999992
4823721,1666324,1666414,422,52.7999992
4823729,1666385,1666361,158,52.7999992
4823732,1666386,1666385,264,52.7999992
4823733,1666414,1666421,370,52.7999992
4823739,1666473,1666471,686,52.7999992
4823740,1663992,1666465,10560,52.7999992
4823750,1666385,1666420,581,52.7999992
4823763,1666485,1665861,2746,52.7999992
4823838,1666500,1665823,3749,52.7999992
4823839,1666500,1666498,739,52.7999992
4823857,1666511,1666414,370,52.7999992
4823917,1666588,1666511,370,52.7999992
4823919,1666588,1666584,422,52.7999992
4823922,1666587,1666506,317,52.7999992
4824008,1666642,1666588,528,52.7999992
4824078,1666509,1666684,845,52.7999992
4824079,1666688,1666648,211,52.7999992
4824109,1666684,1666726,528,52.7999992
4824124,1666688,1666737,898,52.7999992
4824125,1666737,1666512,1109,52.7999992
4824249,1666684,1666858,792,52.7999992
4824261,1666865,1666844,317,52.7999992
4824262,1666858,1666865,581,52.7999992
4824344,1666865,1666938,528,52.7999992
4824386,1666938,1666998,211,52.7999992
4824390,1666998,1667003,370,52.7999992
4824398,1667020,1666923,634,52.7999992
